freq_GHz,att_dB_per_km,rain_rate_mm_per_h
11.309284110571198,0.1051494132460965,5
11.864624291596886,0.1146014285086058,5
12.152438395412778,0.1231239894823639,5
12.68821170690549,0.1341917623956048,5
12.996004536387302,0.1483677681783117,5
13.50407853184782,0.1617047366500585,5
14.09944257635076,0.1839913931365402,5
14.167193663021468,0.1948586216341486,5
14.862870932822675,0.2123747123935602,5
15.370072621976709,0.2281683762179384,5
15.894582780984477,0.2486787234263091,5
16.515975621922784,0.2710327719818209,5
17.24412734452939,0.3083873628916078,5
17.832590405041987,0.3361086974272019,5
18.529748937969,0.366321938184986,5
19.34668333636691,0.3992510858028884,5
20.103034773002364,0.4478064479494223,5
21.1915336064664,0.4880603423840179,5
22.125820024263128,0.5319327108816189,5
22.99082078284956,0.5881260349042838,5
24.004433671388245,0.650255616653011,5
25.42577006601435,0.6986131564635878,5
26.54673431880685,0.7724145878562744,5
27.717119330647225,0.8298567201899982,5
28.939103950164,0.8915706498446444,5
30.214963086455857,0.9717150760452328,5
31.396205904203825,1.0439785817666587,5
32.78039306551888,1.12161610543623,5
34.22560588399122,1.2224396119112233,5
35.906247556929934,1.2946415250589134,5
37.13156327785432,1.3909200922640772,5
38.95490141940968,1.494358604769665,5
40.67233423850776,1.6286884113172957,5
42.06029466155442,1.749809033227014,5
44.3376911935318,1.853159381670464,5
46.73839962823346,1.9909732294550215,5
48.798989143514696,2.1085676486736022,5
51.68844615967054,2.2331076396491376,5
54.48716854082706,2.399177088063082,5
56.61732426248432,2.540881573135709,5
59.11345304923205,2.614842185506477,5
61.42447165438096,2.690955661765155,5
64.13253661337559,2.7692846680088894,5
67.28175226171336,2.9328491084381385,5
71.60804747669988,2.9752279773021635,5
75.84806102669918,3.150956209534341,5
81.89449029643754,3.337063616686565,5
86.32874901216734,3.4341996938732557,5
91.87978835362696,3.483822941813561,5
99.2042292698315,3.689590718819318,5
121.3303542591276,3.7429042973409294,5
169.70771894551294,3.8518536859324186,5
400.2759275607175,3.907511920026321,5
5.780572514526618,0.100719895103747,25
5.949249448850853,0.1129690564862105,25
6.064426395573665,0.126707913170869,25
6.301512904765655,0.1380978495689805,25
6.454376092406068,0.1594014295147852,25
6.674634377047045,0.1787872105733413,25
6.902409067806666,0.2005306148250789,25
7.103821159443543,0.2217146510477313,25
